Nome,Semana,Link,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770251654010392710,19-03-2024,Twitter,Foto,36934,0.1363,270931.0,0.0,28393,0.0,8541.0,68201.77
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770246545763438894,19-03-2024,Twitter,Link,6471,0.0239,270931.0,0.0,5275,0.0,1196.0,14958.44
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4tzQ6YrvgD/,19-03-2024,Instagram,Reels,23988,0.0042,967322.0,0.0,23090,898.0,0.0,48643.15
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770228063013372373,19-03-2024,Twitter,Foto,17645,0.0650999999999999,270904.0,0.0,14187,0.0,3458.0,33165.42
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/p/C4trzgPr_wr/,19-03-2024,Instagram,Foto,9701,0.0112,967250.0,0.0,6592,3109.0,0.0,97917.94
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770184543103754320,19-03-2024,Twitter,Link,5028,0.0186,270904.0,0.0,4313,0.0,715.0,12028.67
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4sohjnLRsP/,19-03-2024,Instagram,Reels,129589,0.0227999999999999,967250.0,0.0,113897,15692.0,0.0,240649.34
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770073231220748581,19-03-2024,Twitter,Link,4409,0.0163,270904.0,0.0,3526,0.0,883.0,11917.56
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770056647462748438,19-03-2024,Twitter,Link,10451,0.0385999999999999,270904.0,0.0,8102,0.0,2349.0,22505.94
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770053344846864878,19-03-2024,Twitter,Link,11272,0.0416,270904.0,0.0,8341,0.0,2931.0,25116.07
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4scAbbLlnh/,19-03-2024,Instagram,Reels,27318,0.0048,967250.0,0.0,25336,1982.0,0.0,58919.88
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/p/C4wYzNBL_9B/,20-03-2024,Instagram,Foto,26877,0.0046999999999999,967393.0,0.0,25732,1145.0,0.0,52818.78
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770586123485565086,20-03-2024,Twitter,Link,2039,0.0075,270931.0,0.0,1668,0.0,371.0,7957.62
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770579393523392803,20-03-2024,Twitter,Link,12238,0.0452,270931.0,0.0,9715,0.0,2523.0,24843.73
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770579307607236777,20-03-2024,Twitter,Foto,9757,0.036,270931.0,0.0,8595,0.0,1162.0,18173.26
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4wHsBWvHP1/,20-03-2024,Instagram,Reels,105001,0.0185,967322.0,0.0,102075,2926.0,0.0,132185.85
Eduardo Bolsonaro,14-20 MAR/24,https://www.youtube.com/watch?v=-Oo5p-FnxCQ,20-03-2024,YouTube,Vídeo,8104,0.2651,0.0,30571.0,7598,506.0,0.0,36171.29
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4vp1ByLjp9/,20-03-2024,Instagram,Reels,152093,0.0266999999999999,967322.0,0.0,142357,9736.0,0.0,219265.37
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770458169891766771,20-03-2024,Twitter,Link,3645,0.0135,270931.0,0.0,2967,0.0,678.0,10519.1
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1770419577471557738,20-03-2024,Twitter,Link,5079,0.0187,270931.0,0.0,3871,0.0,1208.0,13589.24
Gustavo Gayer,14-20 MAR/24,https://www.instagram.com/reel/C4f02WYO25A/,14-03-2024,Instagram,Reels,24804,0.0137,307951.0,0.0,23311,1493.0,0.0,38506.33
Gustavo Gayer,14-20 MAR/24,https://www.tiktok.com/@gusgayer/video/7346281360706800901,14-03-2024,TikTok,Vídeo,864,0.0224,0.0,6251.0,803,44.0,17.0,1816.9
Gustavo Gayer,14-20 MAR/24,https://www.instagram.com/reel/C4gSsJAOBA0/,14-03-2024,Instagram,Reels,6105,0.0034,307951.0,0.0,5904,201.0,0.0,13587.91
Gustavo Gayer,14-20 MAR/24,https://www.tiktok.com/@gusgayer/video/7346303509840612613,14-03-2024,TikTok,Vídeo,196,0.0363,0.0,5403.0,188,8.0,0.0,876.76
Gustavo Gayer,14-20 MAR/24,https://www.instagram.com/p/C4gjIzduO77/,14-03-2024,Instagram,Carrossel,13679,0.0076,307951.0,0.0,13241,438.0,0.0,21722.63
Gustavo Gayer,14-20 MAR/24,https://www.instagram.com/reel/C4i3uJKuyX_/,15-03-2024,Instagram,Reels,47693,0.0263,308340.0,0.0,46975,718.0,0.0,52898.67
Gustavo Gayer,14-20 MAR/24,https://www.instagram.com/reel/C4lN7ApuLU-/,16-03-2024,Instagram,Reels,18219,0.01,308729.0,0.0,17784,435.0,0.0,25624.1
Gustavo Gayer,14-20 MAR/24,https://www.instagram.com/reel/C4lY5SdscCc/,16-03-2024,Instagram,Reels,75593,0.0416,308729.0,0.0,72018,3575.0,0.0,96443.34
